,PRODUTOS,TIPO,UNIDADE EMBALAGEM,VARIAÇÃO ULTIMOS 12 MESES,MIN,MODAL,MAX,CLASSE,DATA,ARQUIVO
0,ABACATE,,Cx 20 kg,"-57,14",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
1,ABACAXI ANANÁS,GRANDE,"Unid 2,5 kg",,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
2,ABACAXI PÉROLA,MÉDIO,"Unid 2,0 kg","40,00",6.0,7.0,8.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
3,AMEIXA NACIONAL,,Cx 5 kg,"33,33",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
4,AMORA,,"Cx 1 kg / 4 band 0,25 kg","-37,50",40.0,50.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
5,ATEMÓIA,,Cx 3 kg,"37,50",50.0,55.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
6,BANANA DA TERRA,,Cx 20 kg,"71,43",110.0,120.0,130.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
7,BANANA FIGO,,Cx 2 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
8,BANANA MAÇÃ,EXTRA,Cx 20 kg,"0,00",90.0,100.0,110.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
9,BANANA NANICA/D’ÁGUA,EXTRA,Cx 20 kg,"0,37",50.0,60.0,65.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
10,BANANA OURO,,Cx 20 kg,"2,62",80.0,85.0,110.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
11,BANANA PACOVAN,,Cx 20 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
12,BANANA PRATA,EXTRA,Cx 20 kg,"11,11",80.0,100.0,110.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
13,CAJÁ,,Cx 20 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
14,CAJÚ,,"Cx 1,6 kg","0,00",30.0,45.0,50.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
15,CAQUI FUYU,,"Cx 2,0 kg","-25,00",20.0,30.0,40.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
16,CAQUI RAMA FORTE,A,Cx 8 kg,"-7,54",30.0,40.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
17,CARAMBOLA,,"Cx 2,0 kg","-16,67",20.0,25.0,35.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
18,COCO SECO,,SC 30 KG,"40,00",130.0,140.0,160.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
19,COCO VERDE,,Unid,"38,89",2.0,2.5,3.5,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
20,FIGO VERDE,TIPO 8,"Cx 1,0 kg","-16,67",20.0,25.0,30.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
21,FRUTA DE CONDE/PINHA,TIPO 4,"Cx 1 kg / 4 band 0,25 kg","0,00",8.0,10.0,12.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
22,GOIABA VERMELHA,TIPO 12,"Cx 2,0 kg","20,00",15.0,18.0,22.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
23,GRAVIOLA,,"Cx 7,0 kg","0,00",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
24,JABOTICABA,,"Cx 3,0 kg","-12,50",25.0,35.0,40.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
25,KIWI NACIONAL,,Cx 8 kg,"30,77",160.0,170.0,180.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
26,LARANJA BAHIA,GRANDE,Cx 18 kg,"0,00",80.0,90.0,120.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
27,LARANJA LIMA,,Cx 18 kg,"14,29",70.0,80.0,100.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
28,LARANJA NATAL,GRANDE,Cx 23 kg,"-1,30",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
29,LARANJA PÊRA,GRANDE,Cx 20 kg,"18,13",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
30,LARANJA SELETA,GRANDE,Cx 20 kg,"0,00",65.0,70.0,75.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
31,LARANJA VALENCIA,GRANDE,Cx 22 kg,"-10,38",40.0,50.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
32,LIMA DA PÉRSIA,,Cx 20 kg,"-11,11",70.0,80.0,100.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
33,LIMÃO SICILIANO NACIONAL,,Cx 15 kg,"-15,38",90.0,110.0,130.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
34,LIMÃO TAITI,,Cx 20 kg,"-16,67",40.0,50.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
35,LISCHIA,,Cx 4 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
36,MAÇÃ NACIONAL,FUJI,Cx 18 kg,"50,00",140.0,150.0,180.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
37,MAÇÃ NACIONAL,GALA,Cx 18 kg,"50,00",90.0,120.0,140.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
38,MAMÃO FORMOSA,,Cx 15 kg,"100,00",100.0,120.0,140.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
39,MAMÃO PAPAYA/ HAVAI,,Cx 10 kg,"33,33",70.0,80.0,100.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
40,MANGA,ESPADA,Cx 15 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
41,MANGA,PALMER,Cx 18 kg,"38,86",70.0,80.0,90.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
42,MANGA TOMMY ATKINS,,Cx 18 kg,"44,20",80.0,100.0,110.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
43,MANGA TOMMY ATKINS,,Cx 5 kg,"50,00",20.0,30.0,35.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
44,MARACUJÁ,,Cx 10 kg,"33,33",70.0,80.0,90.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
45,MELANCIA,GRANDE,kg,"38,89",2.0,2.5,3.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
46,MELÃO AMARELO,TIPO 5,Cx 13 kg,"-21,81",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
47,MELÃO DE REDE,TIPO 4,Cx 10 kg,"23,38",70.0,75.0,80.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
48,MELÃO PELE DE SAPO,TIPO 4,Cx 13 kg,"-5,00",40.0,50.0,55.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
49,MORANGO,EXTRA,"Cx 1,2 kg / 4 cambucas","20,00",15.0,18.0,20.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
50,NECTARINA NACIONAL,,,"33,33",70.0,80.0,90.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
51,PÊSSEGO NACIONAL,,Cx 6 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
52,PITAYA,,Cx 4 kg,,55.0,60.0,65.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
53,ROMÃ,,Cx 2 kg,"57,14",100.0,110.0,115.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
54,SAPUTI,,Cx 3 kg,,40.0,60.0,80.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
55,SERIGUELA,,Cx 1 kg,"0,00",25.0,30.0,40.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
56,TAMARINDO,,Cx 2 kg,"0,00",25.0,30.0,40.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
57,TANGERINA COMUM / RIO,EXTRA,Cx 10 kg,"-26,67",50.0,55.0,65.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
58,TANGERINA MURCOTT,EXTRA,Cx 9 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
59,TANGERINA PONKAN,EXTRA,Cx 9 kg,"100,00",80.0,90.0,110.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
60,UVA BENITAKA,EXTRA,Cx 10 kg,"20,00",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
61,UVA ITALIA,EXTRA,Cx 10 kg,"30,65",60.0,65.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
62,UVA RED GLOBE NACIONAL,,Cx 10 kg,"-33,33",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
63,UVA ROSADA/NIAGARA,EXTRA,Cx 8 kg,"4,05",40.0,45.0,50.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
64,UVA RUBI,EXTRA,Cx 10 kg,"21,21",55.0,60.0,65.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
65,UVA THOMPSON NACIONAL,,,"9,09",110.0,120.0,130.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
66,UVA VITÓRIA,,Cx 8 kg,,80.0,85.0,90.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
67,AMEIXA IMPORTADA,,Cx 5 kg,"-3,69",100.0,110.0,130.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
68,CEREJA IMPORTADA,,Cx 5 kg,,0.0,0.0,0.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
69,DAMASCO IMPORTDAO,,Cx 8 kg,,0.0,0.0,0.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
70,KIWI IMPORTADO,,Cx 10 kg,"30,77",160.0,170.0,190.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
71,LARANJA KINKAN IMPORTADA,,"Cx 2,0 kg / 4 band 0,5 kg","40,00",60.0,70.0,90.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
72,LIMÃO SICILIANO IMPORTADO,,Cx 15 kg,"0,00",100.0,110.0,130.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
73,MAÇÃ IMPORTADA,GALA,Cx 18 kg,,140.0,150.0,180.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
74,MAÇÃ IMPORTADA,FUJI,Cx 18 kg,,180.0,200.0,210.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
75,MAÇÃ IMPORTADA,RED DELICIOUS,Cx 18 kg,"35,18",200.0,220.0,240.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
76,MAÇÃ IMPORTDA,GRAND SMITH,Cx 18 kg,"0,00",170.0,190.0,210.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
77,NECTARINA IMPORTADA,,Cx 10 kg,"-21,18",70.0,80.0,100.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
78,PÊRA IMPORTADA,D´ANJOUR,Cx 10 kg,"-51,07",70.0,80.0,90.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
79,PÊRA IMPORTADA,PACCK TRIUNPH,Cx 20 kg,,100.0,120.0,150.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
80,PÊRA IMPORTADA,PORTUGUESA,Cx 10 kg,"18,18",120.0,130.0,150.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
81,PÊRA IMPORTADA,WILLIANS,Cx 18 kg,"-14,47",120.0,130.0,140.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
82,PÊRA IMPORTADA,WINTERBARLETT,Cx 20 kg,,0.0,0.0,0.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
83,PÊSSEGO IMPORTADO,,Cx 6 kg,"-16,67",90.0,100.0,120.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
84,PITAYA IMPORTADA,,Cx 4 kg,,0.0,0.0,0.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
85,UVA RED GLOBE IMPORTADA,EXTRA,Cx 10 kg,"-11,11",70.0,80.0,90.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
86,UVA THOMPSON IMPORTADA,EXTRA,Cx 10 kg,"9,09",110.0,120.0,130.0,2. FRUTAS IMPORTADAS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
87,ABÓBORA,BAIANA,kg,"25,00",2.2,2.5,3.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
88,ABÓBORA,BRANCA,kg,"0,00",1.8,2.0,2.5,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
89,ABÓBORA,JAPONESA,kg,"20,00",2.7,3.0,3.5,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
90,ABÓBORA,PESCOÇO,kg,"25,00",2.2,2.5,3.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
91,ABÓBORA,SERGIPANA,kg,"0,00",2.3,2.5,3.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
92,ABÓBORA MORANGA BABY,,,,50.0,60.0,70.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
93,ABÓBORA MORANGA HÍBRIDA,,kg,,2.2,2.5,3.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
94,ABOBRINHA ITALIANA,EXTRA,Cx 18 kg,"12,20",60.0,70.0,80.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
95,ABOBRINHA MENINA,EXTRA,Cx 18 kg,"-29,89",40.0,50.0,60.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
96,BERINJELA,EXTRA,Cx 10 kg,"-2,95",35.0,50.0,60.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
97,CHUCHU,EXTRA,Cx 18 kg,"-7,60",40.0,45.0,50.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
98,ERVILHA VAGEM,EXTRA,Cx 8 kg,,0.0,0.0,0.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
99,FEIJÃO DE CORDA,,Cx 10 kg,,0.0,0.0,0.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
100,JILÓ,EXTRA,Cx 15 kg,"5,92",60.0,70.0,80.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
101,MAXIXE,,Cx 10 kg,"36,45",60.0,70.0,80.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
102,MILHO VERDE,,Sc 15 kg,"0,00",20.0,30.0,30.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
103,PEPINO COMUM,EXTRA,Cx 20 kg,"0,00",40.0,50.0,60.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
104,PEPINO JAPONÊS,,Cx 18 kg,"-20,00",50.0,60.0,70.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
105,PIMENTA,DEDO,Sc 1 kg,"25,00",20.0,25.0,30.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
106,PIMENTA,DE CHEIRO,Sc 1 kg,"20,00",20.0,30.0,30.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
107,PIMENTA,MALAGUETA,Sc 1 kg,"33,33",30.0,40.0,45.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
108,PIMENTÃO AMARELO,,Cx 5 kg,"0,00",60.0,70.0,100.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
109,PIMENTÃO VERDE,EXTRA A,Cx 9 kg,"-11,54",50.0,60.0,80.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
110,PIMENTÃO VERMELHO,,Cx 5 kg,"0,00",60.0,70.0,100.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
111,QUIABO,EXTRA,Cx 10 kg,"-9,21",50.0,60.0,70.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
112,TOMATE,EXTRA AA,Cx 18 kg,"-26,88",90.0,110.0,130.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
113,TOMATE CEREJA,,Cx 2 kg / 4 unid,"33,33",18.0,20.0,25.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
114,TOMATE ITALIANO,,Cx 20 kg,,120.0,140.0,150.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
115,TOMATE SWEET GRAPE,,"Cx 1,4 kg - 4 band",,0.0,0.0,0.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
116,VAGEM MACARRÃO,EXTRA,Cx 12 kg,"5,28",120.0,130.0,140.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
117,VAGEM MANTEIGA,EXTRA,Cx 12 kg,"-3,29",90.0,100.0,110.0,3. HORTALIÇAS FRUTO,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
118,ACELGA,,Preg 20 kg/8 cab,"16,94",25.0,30.0,32.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
119,AGRIÃO,,"Mol 0,25 kg","0,00",0.8,1.0,1.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
120,AIPO/SALSÃO,,Ama 13 kg / 6 ml,"33,33",15.0,20.0,25.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
121,ALCACHOFRA,,Cx 2 kg,,100.0,110.0,120.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
122,ALECRIM,,"Mol 0,15 kg","50,00",2.5,3.0,3.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
123,ALFACE CRESPA,EXTRA,Preg 6 kg/18 unid,"-7,45",18.0,20.0,22.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
124,ALFACE LISA,EXTRA,Preg 6 kg/18 unid,"-7,45",18.0,20.0,22.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
125,ALHO-PORÓ,,"Ama 4,5 kg / 12 unid","11,11",18.0,20.0,25.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
126,ALMEIRÃO,,"Ama 0,25 kg / 5 unid",,1.0,1.0,1.5,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
127,ASPARGO,,"Mol 0,4 kg","81,82",30.0,40.0,50.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
128,BERTALHA,,"Mol 0,50 kg","50,00",1.0,1.5,2.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
129,BRÓCOLIS AMERICANA,,Preg 8 kg / 8 cab,"60,00",45.0,48.0,50.0,"4. HORTALIÇAS FOLHA, FLOR E HASTE",14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
